Kode,Sumber,Bahaya
A101a,Tidak Spesifik,1
A102a,Tidak Spesifik,1
A103a,Tidak Spesifik,1
A104a,Tidak Spesifik,1
A105a,Tidak Spesifik,1
A106a,Tidak Spesifik,1
A107a,Tidak Spesifik,1
A108a,Tidak Spesifik,1
A109a,Tidak Spesifik,1
A110a,Tidak Spesifik,1
A111a,Tidak Spesifik,1
A112a,Tidak Spesifik,1
A101b,Tidak Spesifik,1
A102b,Tidak Spesifik,1
A103b,Tidak Spesifik,1
A104b,Tidak Spesifik,1
A105b,Tidak Spesifik,1
A106b,Tidak Spesifik,1
A107b,Tidak Spesifik,1
A108b,Tidak Spesifik,1
A109b,Tidak Spesifik,1
A110b,Tidak Spesifik,1
A111b,Tidak Spesifik,1
A112b,Tidak Spesifik,1
A113b,Tidak Spesifik,1
A114b,Tidak Spesifik,1
A115b,Tidak Spesifik,1
A116b,Tidak Spesifik,1
A117b,Tidak Spesifik,1
A118b,Tidak Spesifik,1
A119b,Tidak Spesifik,1
A120b,Tidak Spesifik,1
A121b,Tidak Spesifik,1
A101c,Tidak Spesifik,1
A102c,Tidak Spesifik,1
A103c,Tidak Spesifik,1
A104c,Tidak Spesifik,1
A105c,Tidak Spesifik,1
A106c,Tidak Spesifik,1
A107c,Tidak Spesifik,1
A108c,Tidak Spesifik,1
A109c,Tidak Spesifik,1
A110c,Tidak Spesifik,1
A101d,Tidak Spesifik,1
A102d,Tidak Spesifik,1
A103d,Tidak Spesifik,1
A104d,Tidak Spesifik,1
A105d,Tidak Spesifik,1
A106d,Tidak Spesifik,1
A107d,Tidak Spesifik,1
A108d,Tidak Spesifik,1
A109d,Tidak Spesifik,1
A110d,Tidak Spesifik,1
A111d,Tidak Spesifik,1
B101d,Tidak Spesifik,2
B102d,Tidak Spesifik,2
B103d,Tidak Spesifik,2
B104d,Tidak Spesifik,2
B105d,Tidak Spesifik,2
B106d,Tidak Spesifik,2
B107d,Tidak Spesifik,2
B108d,Tidak Spesifik,2
B109d,Tidak Spesifik,2
B110d,Tidak Spesifik,2
A2001,?,1
A2002,?,1
A2003,?,1
A2004,?,1
A2005,?,1
A2006,?,1
A2007,?,1
A2008,?,1
A2009,?,1
A2010,?,1
A2011,?,1
A2012,?,1
A2013,?,1
A2014,?,1
A2015,?,1
A2016,?,1
A2017,?,1
A2018,?,1
A2019,?,1
A2020,?,1
A2021,?,1
A2022,?,1
A2023,?,1
A2024,?,1
A2025,?,1
A2026,?,1
A2027,?,1
A2028,?,1
A2029,?,1
A2030,?,1
A2031,?,1
A2032,?,1
A2033,?,1
A2034,?,1
A2035,?,1
A2036,?,1
A2037,?,1
A2038,?,1
A2039,?,1
A2040,?,1
A2041,?,1
A2042,?,1
A2043,?,1
A2044,?,1
A2045,?,1
A2046,?,1
A2047,?,1
A2048,?,1
A2049,?,1
A2050,?,1
A2051,?,1
A2052,?,1
A2053,?,1
A2054,?,1
A2055,?,1
A2056,?,1
A2057,?,1
A2058,?,1
A2059,?,1
A2060,?,1
A2061,?,1
A2062,?,1
A2063,?,1
A2064,?,1
A2065,?,1
A2066,?,1
A2067,?,1
A2068,?,1
A2069,?,1
A2070,?,1
A2071,?,1
A2072,?,1
A2073,?,1
A2074,?,1
A2075,?,1
A2076,?,1
A2077,?,1
A2078,?,1
A2079,?,1
A2080,?,1
A2081,?,1
A2082,?,1
A2083,?,1
A2084,?,1
A2085,?,1
A2086,?,1
A2087,?,1
A2088,?,1
A2089,?,1
A2090,?,1
A2091,?,1
A2092,?,1
A2093,?,1
