Kode Limbah,Bentuk,Karakter Limbah,Sumber,Bahaya,Kemasan
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A323-3,Padat,T,Spesifik Umum,1,Tanpa Kemasan
A345-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A323-2,Padat,T,Spesifik Umum,1,Jumbo Bag
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A345-2,Padat,T,Spesifik Umum,1,Box Besi
B104d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A345-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A310-1,Padat,C,Spesifik Umum,1,Drum Plastik
B323-1,Padat,T,Spesifik Umum,2,Box Besi
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
A345-1,Cair,T,Spesifik Umum,1,Drum Logam
A323-3,Padat,T,Spesifik Umum,1,"Karung Kain, plastik, kertas"
B104d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B110d,Padat,T,Tidak Spesifik,2,Jumbo Bag
A345-1,Cair,T,Spesifik Umum,1,IBC Tank
B105d,Cair,T,Tidak Spesifik,2,Drum Logam
B409,Padat,T,Spesifik Khusus,2,Tangki
B409,Padat,T,Spesifik Khusus,2,Tangki
A108d,Padat,T,Tidak Spesifik,1,Tangki
B401,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B323-1,Padat,T,Spesifik Umum,2,Tangki
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
B306-4,Padat,T,Spesifik Umum,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Jumbo Bag
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
A304-3,Cair,T,Spesifik Umum,1,Box Besi
A341-1,Cair,T,Spesifik Umum,1,Jumbo Bag
B410,Padat,T,Spesifik Khusus,2,Tanpa Kemasan
A306-3,Cair,T,Spesifik Umum,1,Jumbo Bag
A341-2,Padat,T,Spesifik Umum,1,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A318-6,Cair,T,Spesifik Umum,1,Drum Logam
B105d,Cair,T,Tidak Spesifik,2,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
B409,Padat,T,Spesifik Khusus,2,Jumbo Bag
A108d,Padat,T,Tidak Spesifik,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Drum Plastik
B306-4,Padat,T,Spesifik Umum,2,Jumbo Bag
B411,Padat,T,Spesifik Khusus,2,"Karung Kain, plastik, kertas"
